jatosResID;image;t1_trial;t2_trial;t1_x1;t1_x2;t2_x1;t2_x2
6502;art_007;85;116;0.18;0.53;0.39;0.75
6502;art_039;89;133;0.56;0.26;0.67;0.20
6502;art_061;74;126;0.01;0.67;0.01;0.91
6502;art_102;27;131;0.20;0.52;0.04;0.08
6503;2va014;61;131;0.85;0.71;0.86;0.64
6503;2va067;65;115;0.78;0.25;0.90;0.20
6503;art_007;44;108;0.79;0.89;0.88;0.88
6503;art_039;119;141;0.94;0.13;0.94;0.09
6503;art_061;43;91;0.33;0.43;0.25;0.53
6503;art_102;19;124;0.00;0.98;0.00;0.98
6499;2va014;29;125;0.27;0.21;0.40;0.24
6499;2va067;87;111;0.30;0.23;0.32;0.23
6499;art_007;83;103;0.32;0.20;0.44;0.17
6499;art_039;18;47;0.99;0.09;0.98;0.07
6499;art_061;23;115;0.53;0.23;0.33;0.21
6499;art_102;16;104;0.07;0.04;0.14;0.14
6494;2va014;44;97;0.41;0.42;0.31;0.49
6494;2va067;35;84;0.50;0.51;0.93;0.58
6494;art_007;56;144;0.12;0.50;0.18;0.67
6494;art_039;93;123;0.93;0.12;0.90;0.15
6494;art_061;83;126;0.08;0.51;0.12;0.77
6494;art_102;76;154;0.01;1.00;0.01;0.99
6490;2va014;19;141;0.52;0.60;0.70;0.54
6490;2va067;31;150;0.90;0.13;0.84;0.14
6490;art_007;67;84;0.61;0.73;0.75;0.67
6490;art_039;21;127;0.82;0.30;0.94;0.04
6490;art_061;62;103;0.35;0.70;0.66;0.47
6490;art_102;13;138;0.03;0.84;0.01;0.53
6489;2va014;56;96;0.02;0.40;0.36;0.09
6489;2va067;43;64;0.87;0.08;0.84;0.02
6489;art_007;89;115;0.01;0.41;0.66;0.34
6489;art_039;20;53;0.52;0.06;0.57;0.02
6489;art_061;19;62;0.21;0.75;0.05;0.36
6489;art_102;125;152;0.04;0.97;0.03;0.99
6488;2va014;21;66;0.98;0.03;0.81;0.34
6488;2va067;24;131;0.63;0.40;0.43;0.33
6488;art_007;18;82;0.22;0.81;0.15;0.48
6488;art_039;62;114;0.54;0.47;0.42;0.37
6488;art_061;75;151;0.08;0.62;0.04;0.71
6488;art_102;138;144;0.03;0.95;0.21;0.63
6486;2va014;44;116;0.67;0.30;0.66;0.36
6486;2va067;54;97;0.95;0.46;0.83;0.46
6486;art_007;24;70;0.27;0.46;0.85;0.39
6486;art_039;92;145;0.86;0.32;0.92;0.30
6486;art_061;111;123;0.60;0.62;0.21;0.67
6486;art_102;31;88;0.15;0.92;0.10;0.91
